id_esquemaEsq,id_VacunaVac,id_mascotaMasc,id_EstadoEstado,EdadPrimeraAplicEsq,NumeroDosisPrimerAplicEsq,FrecuenciaDosisPrimerAplicEsq,IntervaloDosisPrimerAplicEsq,EdadRefuerzoEsq,NumeroDosisRefuerzoEsq,FrecuenciaDosisRefuerzoEsq,IntervaloDosisRefuerzoEsq
1,1,1,1,1.5,3,Mensual,1,6,1,Anual,3
2,2,1,1,1.5,3,Mensual,1,6,1,Anual,3
3,3,1,1,1.5,3,Mensual,1,6,1,Anual,3
3,19,1,1,1.5,3,Mensual,1,6,1,Anual,3
4,20,1,1,1,1,Unica,0,,,,
5,4,1,1,1,2,Trimestral,2,12,1,Anual,1
6,5,1,1,2,2,Mensual,1,12,1,Anual,1
7,6,1,1,1.5,2,Mensual,1,12,1,Anual,1
8,7,1,1,1.5,2,Mensual,1,12,1,Anual,1
9,21,1,1,1.5,2,Mensual,1,12,1,Anual,1
10,54,1,1,4,3,Semanal,1,12,1,Anual,1
11,55,1,1,6,3,Semanal,3,12,1,Anual,1
12,8,1,1,6,1,Unica,0,12,1,Anual,1
13,9,1,1,,1,Unica,0,,1,Mensual,8
14,10,1,1,,,,,,,,
15,11,1,1,,,,,,,,
16,12,1,1,,,,,,,,
17,13,1,1,,,,,,,,
18,14,1,2,1,6,Semanal,3,,,,
19,15,1,2,1,6,Semanal,3,,,,
20,16,1,2,1,6,Semanal,3,,,,
21,17,1,2,1,6,Semanal,3,,,,
22,18,1,2,2,1,Unica,0,,,,
23,22,1,2,1,6,Semanal,3,,,,
24,23,1,2,2,1,Unica,0,,,,
25,24,1,2,2,1,Unica,0,,,,
26,25,1,2,2,1,Unica,0,,,,
27,26,1,2,1,2,Trimestral,2,12,1,Anual,1
28,27,2,1,1.5,3,Mensual,1,36,1,Anual,1
29,28,2,1,1.5,3,Mensual,1,36,1,Anual,1
30,29,2,1,1.5,3,Mensual,1,36,1,Anual,1
31,30,2,1,1.5,3,Mensual,1,36,1,Anual,1
32,31,2,1,1.5,3,Mensual,1,36,1,Anual,1
33,32,2,1,4,1,Unica,0,12,1,Anual,1
34,33,2,1,4,1,Unica,0,12,1,Anual,1
35,34,2,1,4,1,Unica,0,12,1,Anual,1
36,35,2,1,4,1,Unica,0,12,1,Anual,1
37,36,2,1,4,1,Unica,0,12,1,Anual,1
38,37,2,1,1,2,Trimestral,2,12,1,Anual,1
39,38,2,1,1,2,Trimestral,2,12,1,Anual,1
40,39,2,1,2,2,Mensual,1,12,1,Anual,1
41,40,2,1,2,2,Mensual,1,12,1,Anual,1
42,41,2,1,2,3,Mensual,1,14,1,Anual,1
43,42,2,1,2,2,Mensual,1,14,1,Anual,1
44,43,2,1,2,2,Semanal,3,14,1,Anual,1
45,44,2,1,1,1,Unica,0,12,1,Anual,1
46,45,2,1,,,,,,,,
47,46,2,1,,,,,,,,
48,47,2,1,,,,,,,,
49,48,2,2,1,3,Mensual,1,,,,
50,49,2,2,,,,,,,,
51,50,2,2,,,,,,,,
52,51,2,2,1,2,Trimestral,2,12,1,Anual,1
53,52,3,1,0,1,Unica,0,,,,
54,53,3,1,0,1,Unica,0,,,,
