vacunaid_vacunavac,enfermedadid_enfermedadenf
1,1
2,22
3,2
19,1
19,2
19,22
20,1
20,22
5,4
4,3
6,6
7,5
21,6
21,5
54,7
55,7
8,7
9,8
10,1
11,9
12,10
13,11
14,1
15,22
16,2
17,23
18,12
23,12
24,12
25,12
22,1
22,22
22,2
22,23
26,3
27,13
28,14
29,15
30,13
30,14
30,15
31,13
31,14
31,15
32,13
33,14
34,15
35,13
35,14
35,15
36,14
36,15
37,3
38,3
39,16
40,16
41,17
42,18
43,18
44,12
45,19
46,25
47,11
48,13
48,14
48,15
49,13
50,14
50,15
51,3
52,20
53,21
