codigo_postal,entidad_id,municipio,asentamiento,tipo_asentamiento,ciudad,municipio_id,asentamiento_id
50000,15,Toluca,Toluca De Lerdo Centro,Colonia,,15106,160
50010,15,Toluca,Celanese,Colonia,,15106,163
50010,15,Toluca,Club Jardin,Colonia,,15106,164
50010,15,Toluca,Guadalupe,Colonia,,15106,165
50010,15,Toluca,La Cruz Comalco,Colonia,,15106,166
50010,15,Toluca,La Magdalena,Colonia,,15106,168
50010,15,Toluca,Los Girasoles,Fraccionamiento,,15106,170
50010,15,Toluca,Los Girasoles Ii,Fraccionamiento,,15106,171
50010,15,Toluca,Los Girasoles Iii,Fraccionamiento,,15106,172
50010,15,Toluca,Los Girasoles Iv,Fraccionamiento,,15106,173
50010,15,Toluca,San Lorenzo Tepaltitlan Centro,Pueblo,,15106,176
50010,15,Toluca,Tlacopa,Barrio,,15106,177
50010,15,Toluca,Universidad,Fraccionamiento,,15106,178
50010,15,Toluca,Las Flores,Fraccionamiento,,15106,188
50010,15,Toluca,San Angelin,Barrio,,15106,5121
50010,15,Toluca,Galaxias De San Lorenzo,Fraccionamiento,,15106,5542
50010,15,Toluca,El Tejocote,Colonia,,15106,5545
50010,15,Toluca,El Balcon,Colonia,,15106,5546
50010,15,Toluca,Los Girasoles I,Fraccionamiento,,15106,7920
50010,15,Toluca,San Juan De La Cruz,Barrio,,15106,8291
50010,15,Toluca,Hacienda San Agustin,Fraccionamiento,,15106,8297
50010,15,Toluca,La Loma,Barrio,,15106,8355
50010,15,Toluca,Del Panteon,Barrio,,15106,8356
50010,15,Toluca,Villas Tepaltitlan,Fraccionamiento,,15106,8455
50010,15,Toluca,Gran Morada,Fraccionamiento,,15106,9094
50016,15,Toluca,Jardines De La Crespa,Unidad Habitacional,,15106,180
50016,15,Toluca,Parque Industrial San Antonio,Zona Industrial,,15106,6554
50016,15,Toluca,De La Crespa,Barrio,,15106,8357
50017,15,Toluca,Brisas,Fraccionamiento,,15106,184
50017,15,Toluca,Rincon De San Lorenzo,Colonia,,15106,186
50020,15,Toluca,Bosques De La Mora,Fraccionamiento,,15106,191
50020,15,Toluca,Los Angeles,Colonia,,15106,193
50020,15,Toluca,Rancho La Mora,Colonia,,15106,195
50020,15,Toluca,Rinconada De La Mora,Fraccionamiento,,15106,197
50020,15,Toluca,Santiago Miltepec,Pueblo,,15106,199
50020,15,Toluca,3 Caminos,Colonia,,15106,201
50020,15,Toluca,Valle De Santiago Residencial,Fraccionamiento,,15106,203
50026,15,Toluca,Los Frailes,Fraccionamiento,,15106,194
50026,15,Toluca,Carlos Hank Gonzalez,Colonia,,15106,207
50040,15,Toluca,La Retama,Barrio,,15106,216
50040,15,Toluca,La Teresona,Barrio,,15106,217
50040,15,Toluca,Union,Colonia,,15106,218
50040,15,Toluca,San Luis Obispo,Barrio,,15106,219
50040,15,Toluca,San Miguel Apinahuizco,Barrio,,15106,220
50040,15,Toluca,Sector Popular,Colonia,,15106,222
50040,15,Toluca,Sor Juana Ines De La Cruz,Colonia,,15106,223
50040,15,Toluca,Electricistas Locales,Colonia,,15106,5700
50050,15,Toluca,El Coporo,Barrio,,15106,224
50050,15,Toluca,Santa Barbara,Barrio,,15106,227
50050,15,Toluca,Zopilocalco Sur,Barrio,,15106,228
50050,15,Toluca,Zopilocalco Norte,Barrio,,15106,229
50060,15,Toluca,Doctores,Colonia,,15106,230
50060,15,Toluca,Lomas Altas,Fraccionamiento,,15106,231
50060,15,Toluca,Ninos Heroes (Pensiones),Colonia,,15106,4703
50060,15,Toluca,San Juan Buenavista,Colonia,,15106,5533
50060,15,Toluca,Huitzila,Barrio,,15106,7893
50070,15,Toluca,Independencia,Colonia,,15106,236
50070,15,Toluca,Meteoro,Colonia,,15106,237
50070,15,Toluca,Villas Fontana I,Fraccionamiento,,15106,5526
50070,15,Toluca,Villas Fontana Ii,Fraccionamiento,,15106,5527
50070,15,Toluca,Fidel Velazquez,Unidad Habitacional,,15106,5543
50070,15,Toluca,Reforma Y Ferrocarriles Nacionales,Colonia,,15106,7894
50071,15,Toluca,Toluca,Zona Industrial,,15106,239
50075,15,Toluca,Las Torres,Fraccionamiento,,15106,240
50075,15,Toluca,Cientificos,Colonia,,15106,7895
50080,15,Toluca,La Merced (Alameda),Barrio,,15106,242
50080,15,Toluca,San Bernardino,Barrio,,15106,243
50090,15,Toluca,5 De Mayo,Colonia,,15106,244
50090,15,Toluca,Santa Clara,Barrio,,15106,248
50100,15,Toluca,Bosques De San Mateo,Colonia,,15106,252
50100,15,Toluca,14 De Diciembre,Colonia,,15106,253
50100,15,Toluca,El Trigo,Fraccionamiento,,15106,255
50100,15,Toluca,La Joya,Colonia,,15106,256
50100,15,Toluca,La Ribera I,Fraccionamiento,,15106,257
50100,15,Toluca,La Ribera Ii,Fraccionamiento,,15106,258
50100,15,Toluca,La Ribera Iii,Fraccionamiento,,15106,259
50100,15,Toluca,Miguel Hidalgo (Corralitos),Colonia,,15106,261
50100,15,Toluca,Ninos Heroes,Colonia,,15106,262
50100,15,Toluca,Nueva Oxtotitlan,Colonia,,15106,263
50100,15,Toluca,Parque De San Mateo,Fraccionamiento,,15106,264
50100,15,Toluca,Parques Nacionales,Colonia,,15106,265
50100,15,Toluca,Protinbos,Colonia,,15106,266
50100,15,Toluca,Rincon Del Parque,Colonia,,15106,267
50100,15,Toluca,San Mateo Oxtotitlan,Colonia,,15106,269
50100,15,Toluca,Ex-Hacienda San Jorge,Fraccionamiento,,15106,5110
50100,15,Toluca,Tlayaca,Barrio,,15106,8358
50100,15,Toluca,Tlanepantla,Barrio,,15106,8359
50100,15,Toluca,Atotonilco,Barrio,,15106,8360
50100,15,Toluca,Lomas De San Mateo,Fraccionamiento,,15106,9526
50110,15,Toluca,Cultural,Colonia,,15106,270
50110,15,Toluca,Del Deporte,Colonia,,15106,271
50110,15,Toluca,Guadalupe San Buenaventura,Colonia,,15106,272
50110,15,Toluca,Plazas De San Buenaventura,Fraccionamiento,,15106,273
50110,15,Toluca,San Buenaventura,Colonia,,15106,274
50110,15,Toluca,Vicente Guerrero,Colonia,,15106,276
50110,15,Toluca,Villas De San Buenaventura,Fraccionamiento,,15106,277
